original,fixed
A*STAR SIFBI,A*STAR SIFBI
Aalborg University,Aalborg University
Aalto,Aalto University
Aalto University,Aalto University
Aalto university,Aalto University
Aalto University School of Science,Aalto University
Aalto Universtiy,Aalto University
Finnish Geospatial Research Institute and Aalto University,Aalto University
Aarhus university,Aarhus University
Africa Health Research Institute,Africa Health Research Institute
AHRI,Africa Health Research Institute
ACC Cyfronet AGH,AGH University of Krakow
AGH,AGH University of Krakow
AGH University,AGH University of Krakow
AGH University of Krakow,AGH University of Krakow
AGH University of Kraków,AGH University of Krakow
Akademia Górniczo-hutnicza,AGH University of Krakow
AI-Dev Solutions ApS,AI-Dev Solutions ApS
AI|ffinity,AI|ffinity
Alex Ekwueme Federal University Teaching Hospital Abakaliki,Alex Ekwueme Federal University Teaching Hospital Abakaliki
Amrec,Amrec
AMREF international university,AMREF international university
Arcada UAS,Arcada University of Applied Sciences
Arcada University of Applied Sciences,Arcada University of Applied Sciences
Ascentia sp. z o. o.,Ascentia sp. z o. o.
Asia pacific university,Asia pacific university
Barcelona Supercomputing Center,Barcelona Supercomputing Center
Bingham University,Bingham University
Blekinge Institute of Technology,Blekinge Institute of Technology
Bundesanstalt fur materialforschung und prufung,Bundesanstalt fur materialforschung und prufung
Capital City University,Capital City University
Centre for Theoretical Physics - PAN,Centre for Theoretical Physics - PAN
Centrum Badań Kosmicznych Polskiej Akademii Nauk,Centrum Badań Kosmicznych Polskiej Akademii Nauk
Chalmers,Chalmers University of Technology
Chalmers University,Chalmers University of Technology
Chalmers University of Technology,Chalmers University of Technology
Berliner Institut für Gesundheitsforschung (BIH) @ Charité   QUEST – Center for Responsible Research,Charité
Charité,Charité
CINECA,CINECA
Cineca,CINECA
Code for Africa,Code for Africa
CodeRefinery,CodeRefinery
CONICET,CONICET
CSC,CSC – IT Center for Science
CSC - IT Center for Science,CSC – IT Center for Science
CSC – IT Center for Science,CSC – IT Center for Science
Danish Cancer Institute,Danish Cancer Institute
Data Phonics,Data Phonics
Denmark,Denmark
Department of Botany,Department of Botany
Department of Health - County Government of Homa Bay bay,Department of Health - County Government of Homa Bay bay
Diglossia,Diglossia
ECMWF,ECMWF
Ecmwf,ECMWF
"ECMWF, research department & University of Maryland",ECMWF
European Centre for Medium-Range Weather Forecasts,ECMWF
Ekiti State University,Ekiti State University
Equinor,Equinor
European Environment Agency,European Environment Agency
European Synchrotron Radiation Facility (ESRF),European Synchrotron Radiation Facility (ESRF)
"Expanded Programme on Immunisation, Ministry of Public Health, Cameroon","Expanded Programme on Immunisation, Ministry of Public Health, Cameroon"
Expert Analytics AS,Expert Analytics AS
FernUniversität in Hagen,FernUniversität in Hagen
Florida International University,Florida International University
Freelancer,Freelancer
Geological Survey of Finland (GTK),Geological Survey of Finland (GTK)
DKFZ,German Cancer Research Center (DKFZ)
Ghana FELTP,Ghana FELTP
HZB,Helmholtz-Zentrum Berlin (HZB)
Icelandic Met Ofiice,Icelandic Met Ofiice
"ICIM, Facultad de Medicina, Universidad del Desarrollo","ICIM, Facultad de Medicina, Universidad del Desarrollo"
Iconic University,Iconic University
IDEAS Research Institute,IDEAS Research Institute
IFJ PAN,IFJ PAN
IFJPAN,IFJ PAN
"Institute of Nuclear Physics PAN, Kraków",IFJ PAN
Institute of Nuclear Physics Polish Academy of Sciences,IFJ PAN
Instytutem od nuclear physics PAN,IFJ PAN
IIT kanpur,IIT Kanpur
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,IIT Kharagpur
Imperial,Imperial College London
Imperial College London,Imperial College London
"Imperial College, London and University of California, Berkeley",Imperial College London
Independent Researcher,Independent Researcher
"Indian Institute of Information Technology , Allahabad",Indian Institute of Information Technology Allahabad
Indian Institute of Information Technology Dharwad,Indian Institute of Information Technology Dharwad
"Institut de Ciències del Mar (ICM-CSIC), Spain","Institut de Ciències del Mar (ICM-CSIC), Spain"
Institut Pasteur of Cote d'Ivoire,Institut Pasteur of Cote d'Ivoire
Institut Widya Pratama,Institut Widya Pratama
"Institute of Bioorganic Chemistry, Polish Academy of Sciences","Institute of Bioorganic Chemistry, Polish Academy of Sciences"
ICR,Institute of Cancer Research
Institute of Cancer Research,Institute of Cancer Research
Institute of Cancer research,Institute of Cancer Research
Institute of cancer research,Institute of Cancer Research
Institute of Cancer Research London,Institute of Cancer Research
RMH,Institute of Cancer Research
The Institute of Cancer Research,Institute of Cancer Research
Institute of Fundamental Technological Research Polish Academy of Sciences,Institute of Fundamental Technological Research Polish Academy of Sciences
"Institute of organic Chemistry, polish academy of sciences","Institute of organic Chemistry, polish academy of sciences"
Institute of Physics PAS,Institute of Physics PAS
Institute of Psychology Polish Academy of Sciences,Institute of Psychology Polish Academy of Sciences
Institute of Virology,Institute of Virology
İzmir Institute of Technology,Izmir Institute of Technology
Jagiellonian University,Jagiellonian University
Jagiellonian University in Krakow,Jagiellonian University
"JAIN(Deemed-to-be) University, School of Science, Bangalore, India",JAIN University
James Lind Institute,James Lind Institute
KAMPALA INTERNATIONAL UNIVERSITY,KAMPALA INTERNATIONAL UNIVERSITY
Karelia AMK,Karelia University of Applied Sciences
Karelia University of Applied Sciences,Karelia University of Applied Sciences
Karlsruhe Institute for Technology,Karlsruhe Institute of Technology (KIT)
Karlsruhe Institute of Technology,Karlsruhe Institute of Technology (KIT)
Karlsruher Institut fuer Technologie,Karlsruhe Institute of Technology (KIT)
KIT,Karlsruhe Institute of Technology (KIT)
Karolinska Institute,Karolinska Institutet
Karolinska Institutet,Karolinska Institutet
karolinska institutet,Karolinska Institutet
"Uppsala Universitet, SciLifeLab, och Karolinska Institutet",Karolinska Institutet
KEMRI Wellcome Trust Research Programme,KEMRI Wellcome Trust Research Programme
Kenyatta University,Kenyatta University
KCL,King's College London
King's College London,King's College London
king's college london,King's College London
King’s College London,King’s College London
Kristiania University of Applied Sciences,Kristiania University of Applied Sciences
KTH,KTH Royal Institute of Technology
kth,KTH Royal Institute of Technology
KTH Royal Institute of Technology,KTH Royal Institute of Technology
KTH Royal Institute Of Technology,KTH Royal Institute of Technology
KTH Royal Institute of technology,KTH Royal Institute of Technology
Linköping Universite,Linköping University
Linköping universitet,Linköping University
London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine
London School of Hygiene and Tropical Medicine,London School of Hygiene & Tropical Medicine
London school of hygiene and tropical medicine,London School of Hygiene & Tropical Medicine
london school of hygiene and tropical medicine,London School of Hygiene & Tropical Medicine
London school of Hygiene and tropical medicine,London School of Hygiene & Tropical Medicine
LSHTM,London School of Hygiene & Tropical Medicine
LMU,Ludwig Maximilian University Munich
"Inter Arts Center, Lund University",Lund University
Lund University,Lund University
LUT University,LUT University
Makerere University & Avance International University,Makerere University
Makerere University school of Public Health,Makerere University
Marine and Freshwater Institute - Iceland,Marine and Freshwater Research Institute
Marine and Freshwater Research Institute,Marine and Freshwater Research Institute
Marine and Freshwater research Institute,Marine and Freshwater Research Institute
MUW,Medical University of Warsaw
Metropolia University of Applied Science,Metropolia University of Applied Science
Ministry of Health,Ministry of Health
MoH,MoH
National Environment Agency,National Environment Agency
"National University of Singapore, Singapore",National University of Singapore
LUKE,Natural Resources Institute Finland (LUKE)
Nicolaus Copernicus University in Toruń,Nicolaus Copernicus University in Toruń
Nigeria Centre for Disease Control and prevention,Nigeria Centre for Disease Control and prevention
NORCE,NORCE
Norwegian Academy of Music,Norwegian Academy of Music
NINA,Norwegian Institute for Nature Research (NINA)
nina,Norwegian Institute for Nature Research (NINA)
Norsk institutt for naturforskning,Norwegian Institute for Nature Research (NINA)
Norsk institutt for naturforskning (NINA),Norwegian Institute for Nature Research (NINA)
Norsk Institutt for Naturforskning NINA,Norwegian Institute for Nature Research (NINA)
Norwegian Institute for Nature Research,Norwegian Institute for Nature Research (NINA)
Norwegian Institute for Nature Research (NINA),Norwegian Institute for Nature Research (NINA)
FHI,Norwegian Institute of Public Health
NIPH,Norwegian Institute of Public Health
Norwegian Institute of Public Health (Folkehelseinstituttet),Norwegian Institute of Public Health
NMBU,Norwegian University of Life Sciences (NMBU)
NPHL,NPHL
NTNU,NTNU – Norwegian University of Science and Technology
OsloMet,OsloMet
Oamk,Oulu University of Applied Sciences
Paris School of Business,Paris School of Business
PAUSTI,PAUSTI
Petőfi Sándor Roman Catholic Elementary School and High School,Petőfi Sándor Roman Catholic Elementary School and High School
Polytecnic Institute of Porto,Polytecnic Institute of Porto
PUC,Pontifical Catholic University
"Post graduate from NISER, Bhubaneswar","Post graduate from NISER, Bhubaneswar"
Programme PAC-CI,Programme PAC-CI
Purdue University,Purdue University
Qatar university,Qatar University
Queen Mary University of London,"Queen Mary, University of London"
"Queen Mary, University of London","Queen Mary, University of London"
Rannis.,Rannis.
Rayca Precision (Startup),Rayca Precision (Startup)
RISE,Research Institutes of Sweden (RISE)
Reykjavik University,Reykjavik University
Reykjavík University,Reykjavik University
Roskilde University,Roskilde University
Royal College of Surgeons England,Royal College of Surgeons England
Ruhr University Bochum,Ruhr University Bochum
RWTH Aachen - DWD,RWTH Aachen University
Sano - Centrum Zindywidualizowanej Medycyny Obliczeniowej - Międzynarodowa Fundacja Badawcza,Sano Centre for Computational Medicine
Sano Centre for Computational Medicine,Sano Centre for Computational Medicine
"Sano Centre for Computational Medicine, Nawojki 11, 30-072 Krakow",Sano Centre for Computational Medicine
Satori,Satori
Shahjalal University of Science and Technology,Shahjalal University of Science and Technology
Simula Research Laboratory,Simula Research Laboratory
Stockholm University,Stockholm University
Stockholm university,Stockholm University
Strathmore University,Strathmore University
Superior University,Superior University
Swedish Institute of Space Physics,Swedish Institute of Space Physics
SMHI,Swedish Meteorological and Hydrological Institute (SMHI)
SLU,Swedish University of Agricultural Sciences
Swedish University of Agricultural Sciences,Swedish University of Agricultural Sciences
Tallinn University of Technology,Tallinn University of Technology
TalTech,Tallinn University of Technology
Tampere University,Tampere University
Tampere university,Tampere University
BRIGHT,Technical University of Denmark (DTU)
DTU,Technical University of Denmark (DTU)
dtu,Technical University of Denmark (DTU)
DTU - Technical University of Denmark,Technical University of Denmark (DTU)
DTU - Technical university of denmark,Technical University of Denmark (DTU)
DTU Biosustain (BRIGHT),Technical University of Denmark (DTU)
DTU Construct,Technical University of Denmark (DTU)
DTU Department of Civil and Mechanical Engineering,Technical University of Denmark (DTU)
DTU Energy,Technical University of Denmark (DTU)
Technical University of Denmark,Technical University of Denmark (DTU)
Technical university of Denmark,Technical University of Denmark (DTU)
Technical University Of Denmark,Technical University of Denmark (DTU)
Technical University of Denmark (DTU),Technical University of Denmark (DTU)
Technical University of Denmark - DTU,Technical University of Denmark (DTU)
"Technical University of Denmark, DTU Library",Technical University of Denmark (DTU)
Technical Universtiy of Denmark (DTU),Technical University of Denmark (DTU)
Ceanapse ~ The Technical University of Kenya,Technical University of Kenya
Tehran Azad University,Tehran Azad University
TFTAK,TFTAK (Centre of Food and Fermentation Technologies)
The Hebrew University of Jerusalem,The Hebrew University of Jerusalem
The University of Oxford,The University of Oxford
Triangulate Health Ltd,Triangulate Health Ltd
tu delft,TU Delft
TU/e - Eindhoven University of Technology,TU Eindhoven
TU Ilmenau,TU Ilmenau
Ucr,UC Riverside
UCSC Extn,UC Santa Cruz
UiT,UiT – The Arctic University of Norway
UiT - Arctic University of Norway,UiT – The Arctic University of Norway
UiT - The Arctic University of Norway,UiT – The Arctic University of Norway
UiT the Arctic University of Norway,UiT – The Arctic University of Norway
University of Tromsø,UiT – The Arctic University of Norway
Ulm University,Ulm University
university ulm,Ulm University
Umeå University,Umeå University
UNALM,UNALM
Unicorn university,Unicorn university
University Centre in Svalbard,University Centre in Svalbard
University College London,University College London
University of Augsburg,University of Augsburg
Universitetet i Bergen,University of Bergen
University of Bergen,University of Bergen
University of Bologna,University of Bologna
Università di Bologna,University of Bologna
University of Chicago,University of Chicago
University of Connecticut,University of Connecticut
KU,University of Copenhagen
University of Copenhagen,University of Copenhagen
uef,University of Eastern Finland
UEF,University of Eastern Finland
University of Eastern Finland,University of Eastern Finland
University of Eastern Finland Kuopio,University of Eastern Finland
Strahlenheilkunde Universität Freiburg,University of Freiburg
"Uni Freiburg, Freiburg, Germany",University of Freiburg
University of Genoa,University of Genoa
university of genoa,University of Genoa
Göteborgs universitet,University of Gothenburg
University of Gothenburg,University of Gothenburg
University of Granada,University of Granada
University of Groningen,University of Groningen
University of Haifa,University of Haifa
University of Helsinki,University of Helsinki
university of helsinki,University of Helsinki
University of Hohenheim,University of Hohenheim
University of Ibadan,University of Ibadan
Háskóli Íslands,University of Iceland
University of Iceland,University of Iceland
Univeristy of Jaén,University of Jaén
Friedrich-Schiller-University Jena,University of Jena
FSU Jena,University of Jena
University of Jyväskylä,University of Jyväskylä
University of Liege,University of Liege
University of Lome,University of Lome
University of Michigan,University of Michigan
University of Naples Federico-II,University of Naples Federico-II
UiO,University of Oslo
"UiO, Sigma2",University of Oslo
University of Oslo,University of Oslo
Oulun yliopisto,University of Oulu
University of Oulu,University of Oulu
university of Oulu,University of Oulu
"INESC TEC, University of Porto",University of Porto
University of Pretoria,University of Pretoria
University of Sao Paulo,University of Sao Paulo
University of Sargodha,University of Sargodha
University of Science Techniques and Technologies of Bamako (USTTB),University of Science Techniques and Technologies of Bamako (USTTB)
USTTB,University of Science Techniques and Technologies of Bamako (USTTB)
UNIVERSITY OF SKILLS TRAINING AND ENTREPRENUERIAL DEVELOPMENT,UNIVERSITY OF SKILLS TRAINING AND ENTREPRENUERIAL DEVELOPMENT
SDU,University of Southern Denmark
University of Southern Denmark,University of Southern Denmark
Stuttgart uni,University of Stuttgart
University of Stuttgart,University of Stuttgart
Tartu University,University of Tartu
University of Tartu,University of Tartu
University of tartu,University of Tartu
"University of Tartu, Estonia",University of Tartu
"University of Tartu, Tartu Observatory",University of Tartu
University of the Basque Country,University of the Basque Country
University of Trieste,University of Trieste
University of Tunis El Manar,University of Tunis El Manar
University of Turku,University of Turku
University of Tübingen,University of Tübingen
University of Vaasa,University of Vaasa
University of Vienna,University of Vienna
University of Washington,University of Washington
Uniwersytet Warszawski,Uniwersytet Warszawski
Univerait,Unknown
Uppsala University,Uppsala University
Uppsala university,Uppsala University
uppsala university,Uppsala University
Utsunomiya university,Utsunomiya University
Verkís hf,Verkís hf
VOTO,VOTO
VTT,VTT Technical Research Centre of Finland
Warsaw University of Technology,Warsaw University of Technology
Wroclaw University of Science and Technology,Wroclaw University of Science and Technology
Abo Akademi University,Åbo Akademi University
Åbo Akademi University,Åbo Akademi University
